Manmino,Old Word,Type,Hanji Spelling,Definition
hapi,hapyi,,合意,(v) to unite in will; to come to an agreement
,,,,
haw,haw,,,(prn) what
hawsi,hawsi,,,(prn) when; which time
hyawdeng,hawdeng,,校定,"(v,n) to correct; to revise"
hawdi,hawdi,,,(prn) where
hawjeng,hawjieng,,好情,(v) to like
,,,,
hawgam,hawkam,,好感,(adj) good; nice; pleasant ; agreeable
hawnin,hawnin,,,(prn) who
gyawsat,hawsat,,絞殺,(v) to strangle to death
hawye,hawye,,,(prn) how
hawi,hawyi,,好意,(n) goodwill
hawyu,hawyu,,,(prn) why
hayan,hayan,,海岸,(n) beach
haytat,haycat,,海獺,(n) sea otter;
gaget,hayhot,,解決,"(v) to solve, figure out"
hayjaw,hayjaw,,海藻,(n) seaweed
gajik,hayjik,,解職,"(v) to fire, to be fired from work"
gameng,haymieng,,解明,(v) to clarify (in an argument)
haysa,haysa,,海砂,(n) sea sand
hayu,hayu,,何由,(n) why
haywangseng,haywangseng,,海王星,(n) Neptune (planet)
hayyang,hayyang,,海洋,"(n) ocean; sea; (adj) oceanic, maritime"
hekgyunsuk,hekkunsiok,,核軍縮,(n) denuclearization
heknyenlyaw,heknienlew,,核燃料,(n) atomic fuel
heksik,heksik,,黑色,(n; adj) the color black
hweng,heng,,兄,(n) older brother
hengbuk,hengbiok,,幸福,"(adj-na,n) happiness; blessedness;"
hwengdey,hengdey,,兄弟,(n) brothers
hengjang,hengjiang,noun,形狀,(n) form; shape; version
hengyongsi,hengyongsi,,形容詞,(n) adjectives
henjin,henjin,,現真,(n) reality
hensey,hensey,,現世,(n) current realm
hensit,hensit,,現實,(n) reality
,,,,
bi,bi,,,"(p) compared to ""than"" ""more"""
hembek,hiambek,,脅迫,(v) to threaten
hyang,hyang,,,(p) direction (to; towards)
hyang,hyang,,,(p) lative case
hyangim,hiangyim,,響音,(v) to ring
hilut,hilut,,,(v) to lick
himang,himang,,希望,"(v) to desire, want, to hope; yearn"
Hindi'o,Hindi'o,,,(n) Hindi
hinong,hinong,,,(n) nose
hyoen,hioen,,嘘言,"(v,n) to lie, fib"
hyoyong,hioyong,,許容,"(v) to allow, enable, let"
hipen,hipen,,吸煙,"(v) to smoke (cigar, etc)"
hitlang,hitlang,,,(n) mankind
hyugang,hiukang,,休講,(n) a school break
hyusik,hiusik,,休息,(n) rest
hwa,hok,,畫,(v) to draw
hwa,hok,,畫,(v) to paint
hok/ hokmut* / hokko**,hok/ hokmut* / hokko**,,,(prn) something
hokci,hokci,,,(prn) sometime
hwokdek,hokdek,,獲得,"(v) to obtain, to get, receive benefits"
hokdi,hokdi,,,(prn) somewhere
hwaga,hokka,,畫家,"(n) illustrator, drawer, artist"
hoklin,hoklin,,,(prn) someone
hwawayim,hokwayyim,,畫外音,(n) voice over; background narration
hokye,hokye,,,(prn) somehow
hokyu,hokyu,,,(prn) some reason
holakat,holakat,,,(n) freedom
holi,holi,,,(n) the color white
holok,holok,,,"(v) to burn, flicker, sizzle (calm)"
holop,holop,,, (v) to suck up
holuk,holuk,,,(n) fingers
hongwan,hongben,,港灣,(n) harbor
hongcay,hongcay,,虹彩,(n) iris (eye)
hongswi,hongsuy,,洪水,(n) flood;
getlay,hotlay,,決來,never
ho,how,,後,"behind, backward"
hobay,howbuay,,後輩,(n) junior at a school or workplace
hohway,howhuay,,後悔,(v) to regret
hoyen,howwan,,後援,(v) to sponsor
hweyday,hoyday,,携帶,(v) to carry on oneself normally
hweydaydenhwa,hoydaydenhuay,,携帶電話,(n) mobile phone; cellphone
hu,hu,,,(prn) behind
hwa,hua,,火,(n) fire
hwa,hwa,,,(p) verb case
hwahak,huahak,,化學,(n) chemistry
