Manmino,Old Word,Type,Hanji Spelling,Definition
winyaw,,,圍繞,"(v, n) revolve around; surrounding"
ninnay,,,忍耐,"(v, n) to endure; bear; perseverance; patience"
jiyusi,,,自由詩,(n) free verse; vers libre
hyugak,,,嗅覺,(n) sense of smell; olfaction
teycu,,,體臭,(n) body odor (unpleasant)
hyangswi,,,香水,(n) perfume; cologne
hyangki,,,香氣,(n) fragrance; aroma; incense
gadaw,,,街道,(n) road; highway; street
mengcing,,,名稱,(n) name; title
deyitjang,,,第一章,chapter one; episode one
tulye,,,,(v) to take; bring
tatan,,,,(adj.) warm; hot (weather) 
sahun,,,,(adj.) cold
cusi,,,,(n) milk
cusicusi,,,,(n) breasts (vulgar / infantile) 
bitgeng,,,畢竟,in the long run; after all; all in all; when all is said and done; 
jwayjung,,,最終,"(adj, n) the final; closing; finale"
jik,,,即,namely; that is; i.e.
jisit,,,事實,in fact; in truth; in reality
sitjey,,,實際,actuality; actual conditions; in practice; in fact; practically
swinyen,,,雖然,although; even though; even if that is the case; nevertheless
galeng,,,假令,supposing that; even if; for example
ley,,,例,example
dekbet,,,特別,"especially, particularly, in particular, specially; exceptional"
gwangey,,,關係,"(v, n) to relate; relation; relationship; connection; to have to do with"
daytey,,,代替,"(n, adv) replacement; substitution, alternation; alternative, substitute"
hen,,,弦,(n) bow string; string of musical instrument
paswon,,,破損,"(v, n) to become damaged; damage; breakage; disrepair"
lwonjeng,,,論爭,"(v, n) to argue; debate; argument; controversy"
bigongsik,,,非公式,(adi) informal; unofficial
jungnit,,,終日,all day long; the whole day
siyuk,,,飼育,"(v, n) breeding; raising; rearing (animals)"
miji,,,未知,"(adj) unknown, strange"
lengwik,,,領域,(n) domain; sphere; field; territory; area
gwanlen,,,關聯,"relation, connection; related, ""in regards to.."""
pilipinasa,,,,(n) the philippines
imusit,,,醫務室,"(n) infirmary; doctor's office, medical office, sickbay"
a ji gwao,,,我之過誤,(phrase) my fault; sorry
gakseng,,,覺醒,"to awaken, come to realize, arousal, awakening, revival, disillusion"
jwaysyaw,,,最少,(adj) at least; minimum; lowest (amount); minimal
telekasuta,,,,(n) telecaster
sapkolca,,,,(n) subculture
bandu,,,,(n) band
juban,,,珠板,(n) abacus
balyak,,,,(adj) fast; quick
bekgikyung,,,北極熊,(n) polar bear
bekyung,,,白熊,"polar bear, white bear"
bekgik,,,北極,(n) north Pole; the Arctic
bekbingyang,,,北冰洋,(n) artic ocean
bensyo,,,便所,(n) restroom
syangsyang,,,想像,"to imagine, imagination, guess, speculation"
nyosin,,,女神,(n) goddess
dwanpensyawset,,,短篇小說,short story
geysyok,,,繼續,to continue
bitnyen,,,必然,"inevitable, certain, necessity"
jepjong,,,接種,"to vaccinate, inoculate, vaccination, inoculation; vaccine"
yoba,,,餘波,"aftermath, repercussions, fallout, after-effect"
gyanglet,,,強烈,"strong, intense, severe"
gengsin,,,更新,"update, renewal, upgrade, reform"
syawhaw,,,消耗,"to consume, use up, consumption, dissipation, burnout"
hwaybyu,,,回復,"to recover, restoration, recovery, reestablish, restore, rehabilitation"
gemja,,,検査,"to examine, examination, inspection, to test for"
penay,,,偏愛,"to prefer, favor, preference, a leaning towards, partiality"
penaw,,,,"(n) boat, ship"
daheng,,,大型,"large, large-scale, big"
janhay,,,殘骸,(n) wreckage
godok,,,孤獨,lonely
mangda,,,尨大,"extensive, vast, massive"
jwayco,,,最初,"first, initial, original, onset"
batmay,,,発売,"sale, release (for sale), launch (product)"
jongjong,,,,"finally, in the end"
hikikomoli,,,,"hikikomori, shut-in, stay-at-home (japanese loan-word)"
hensit,,,現實,"reality, actuality, hard fact"
damnyak,,,耽溺,"to indulge in (e.g. alcohol, women, etc.),indulgence, addiction, overindulgence"
syangsi,,,常時,"usually, ordinarily, frequently, often, regularly"
johap,,,組合,"to assemble, combine, combination, association, guild"
lengim,,,錬金術,alchemy 
genggwa,,,經過,"to pass, passage (of time) elapsing, process"
yogim,,,預金,"to deposit, bank account (this probably shouldnt be a verb but I can't think of anything else)"
jangbi,,,装備,"to equip, equipment, outfit"
jengbaw,,,情報,"information, news, intelligence, data"
dak,,,,even
gwalyang,,,過量,"excess, overdose, in an excessive amount, overdosage"
gwadak,,,過度,"excessive, over, going too far, immoderate, intemperate"
jikkek,,,即刻,"immediately, at once, instantly"
indo,,,引渡,"delivery, handing over, turning over, extradition"
muen,,,無言,"to remain silent, silence, muteness"
meksyang,,,默想,"to meditate, meditation, silent contemplation, reflection"
museng,,,無聲,"voiceless, noiseless, silence, unvoiced, having no voice (being a mute), voiceless (phonetics, phonology)"
meknem,,,默念,"to read silently, silent rumination, quiet thought, to mouth (the words of a prayer etc)"
nikmeng,,,匿名,"anonymous, anonymity"
bawgaw,,,報告,"to inform, report, make known, tell"
syaci,,,奢侈,"luxurious, extravagant, luxury"
apatu,,,,apartment
getdeng,,,決定,"to decide (to do something), decision, determination"
dokgyo,,,獨居,"to live alone, living alone, solitary life, solitude"
bengso,,,平素,"ordinary, in the past, usual, regular, habitually"
senjak,,,洗濯,"to wash laundry, laundry"
jengkak,,,正確,"exact, accurate, correct, precise"
gyawyu,,,交友,"to make friends, companion, acquaintance, frenship, companionship"
hwaneng,,,歡迎,
cogi,,,初期,
setdeng,,,設定,
jipji,,,執事,
annwayja,,,案內者,
inyen,,,毅然,"without hesiation, dauntless"
itnengan,,,一年間,
musak,,,無数,
bawmut,,,寶物,
hengtay,,,形態,"form, shape, figure"
kenjeng,,,懇請,
gwanlen,,,關聯,
hapgey,,,合計,
muhan,,,無限,
bunsan,,,分散,
syawsit,,,消失,
gaji,,,加之,
gulobu,,,,"glove, mitten"
gineng,,,機能,
hyawgwa,,,効果,
gengpim,,,景品,
wayi,,,外衣,
bangyo,,,防御,
manaki,,,,
bityaw,,,必要,
jang,,,醬,
bawho,,,保護,
cangko,,,蒼枯,
